VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8C3-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),16.88
C1-CCI_8C3-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),3.0
C1-CCI_8C3-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.7200000000000001
C1-CCI_8D1-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),18.4
C1-CCI_8D1-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),72.0
C1-CCI_8D1-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),11.8
C1-CCI_8D1-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8D1-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),116.0
C1-CCI_8D1-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),20.52
C1-CCI_8D1-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),2.48
C1-CCI_8D1-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),47.0
C1-CCI_8D1-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),6.200000000000001
C1-CCI_8D1-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),110.68
C1-CCI_8D1-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),3.0
C1-CCI_8D1-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.16
C1-CCI_8D1-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),3.0
C1-CCI_8D1-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),62.0
C1-CCI_8D1-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),12.919999999999998
