VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),9.52
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),0.8181911204653493
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),11.24
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.3433333333333333
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),84.0
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),13.274518122611724
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),28.84
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),0.0
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),44.64
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),0.16
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),1.0
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8B4-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.16
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),4.143504613063116
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.21919999999999998
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),25.0
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),19.352737204342954
C1-CCI_8C3-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),5.4799999999999995
